time_s,reference_heading_deg,actual_heading_deg,heading_error_deg
6.720,1.10,2.29,-1.20
6.752,1.07,2.27,-1.20
6.784,1.05,2.20,-1.15
6.816,1.03,2.16,-1.14
6.848,1.01,2.11,-1.10
6.880,1.00,2.07,-1.07
6.912,0.98,2.02,-1.04
6.944,0.97,1.98,-1.01
6.976,0.96,1.94,-0.98
7.008,0.95,1.91,-0.95
7.040,0.94,1.87,-0.92
7.072,0.93,1.83,-0.90
7.104,0.93,1.80,-0.87
7.136,0.92,1.76,-0.84
7.168,0.91,1.73,-0.82
7.200,0.91,1.70,-0.79
7.232,0.90,1.67,-0.77
7.264,0.89,1.64,-0.74
7.296,0.89,1.61,-0.72
7.328,0.88,1.58,-0.69
7.360,0.88,1.55,-0.67
7.392,0.87,1.52,-0.65
7.424,0.87,1.50,-0.63
7.456,0.86,1.47,-0.61
7.488,0.86,1.44,-0.59
7.520,0.85,1.42,-0.57
7.552,0.85,1.40,-0.55
7.584,0.85,1.37,-0.53
7.616,0.84,1.35,-0.51
7.648,0.84,1.33,-0.49
7.680,0.83,1.31,-0.48
7.712,0.83,1.29,-0.46
7.744,0.83,1.27,-0.44
7.776,0.82,1.25,-0.43
7.808,0.82,1.23,-0.41
7.840,0.82,1.21,-0.40
7.872,0.81,1.19,-0.38
7.904,0.81,1.18,-0.37
7.936,0.81,1.16,-0.35
7.968,0.80,1.14,-0.34
8.000,0.80,1.13,-0.33
8.032,0.80,1.11,-0.31
8.064,0.79,1.10,-0.30
8.096,0.79,1.08,-0.29
8.128,0.79,1.07,-0.28
8.160,0.79,1.05,-0.27
8.192,0.78,1.04,-0.25
8.224,0.78,1.03,-0.24
8.256,0.78,1.01,-0.23
8.288,0.78,1.00,-0.22
8.320,0.78,0.99,-0.21
8.352,0.77,0.98,-0.20
8.384,0.77,0.97,-0.19
8.416,0.77,0.95,-0.18
8.448,0.77,0.94,-0.18
8.480,0.77,0.93,-0.17
8.512,0.77,0.92,-0.16
8.544,0.76,0.91,-0.15
8.576,0.76,0.90,-0.14
8.608,0.76,0.89,-0.13
8.640,0.76,0.89,-0.13
8.672,0.76,0.88,-0.12
8.704,0.76,0.87,-0.11
8.736,0.76,0.86,-0.10
8.768,0.75,0.85,-0.10
8.800,0.75,0.84,-0.09
8.832,0.75,0.84,-0.08
8.864,0.75,0.83,-0.08
8.896,0.75,0.82,-0.07
8.928,0.75,0.82,-0.07
8.960,0.75,0.81,-0.06
8.992,0.75,0.80,-0.05
9.024,0.75,0.80,-0.05
9.056,0.75,0.79,-0.04
9.088,0.75,0.79,-0.04
9.120,0.75,0.78,-0.03
9.152,0.75,0.77,-0.03
9.184,0.75,0.77,-0.02
9.216,0.75,0.76,-0.02
9.248,0.74,0.76,-0.01
9.280,0.74,0.75,-0.01
9.312,0.74,0.75,-0.01
9.344,0.74,0.75,-0.00
9.376,0.74,0.74,0.00
9.408,0.74,0.74,0.01
9.440,0.74,0.73,0.01
9.472,0.74,0.73,0.02
9.504,0.75,0.73,0.02
9.536,0.75,0.72,0.02
9.568,0.75,0.72,0.03
9.600,0.75,0.72,0.03
9.632,0.75,0.71,0.03
9.664,0.75,0.71,0.04
9.696,0.75,0.71,0.04
9.728,0.75,0.71,0.04
9.760,0.75,0.70,0.05
9.792,0.75,0.70,0.05
9.824,0.75,0.70,0.05
9.856,0.75,0.70,0.06
9.888,0.75,0.69,0.06
9.920,0.75,0.69,0.06
9.952,0.75,0.69,0.06
9.984,0.76,0.69,0.07
10.016,0.76,0.69,0.07
10.048,0.76,0.69,0.07
10.080,0.76,0.69,0.07
10.112,0.76,0.69,0.08
10.144,0.76,0.68,0.08
10.176,0.76,0.68,0.08
10.208,0.77,0.68,0.08
10.240,0.77,0.68,0.09
10.272,0.51,0.68,-0.18
10.304,0.39,0.48,-0.09
10.336,0.33,0.53,-0.20
10.368,0.30,0.43,-0.14
10.400,0.27,0.46,-0.19
10.432,0.25,0.41,-0.15
10.464,0.24,0.42,-0.18
10.496,0.23,0.38,-0.15
10.528,0.22,0.38,-0.16
10.560,0.22,0.36,-0.15
10.592,0.21,0.36,-0.15
10.624,0.21,0.34,-0.14
10.656,0.20,0.34,-0.13
10.688,0.20,0.32,-0.12
10.720,0.20,0.32,-0.12
10.752,0.20,0.31,-0.11
10.784,0.20,0.30,-0.10
10.816,0.19,0.29,-0.10
10.848,0.19,0.28,-0.09
10.880,0.19,0.27,-0.08
10.912,0.19,0.27,-0.08
10.944,0.19,0.26,-0.07
10.976,0.19,0.25,-0.06
11.008,0.19,0.25,-0.06
11.040,0.19,0.24,-0.05
11.072,0.19,0.23,-0.05
11.104,0.19,0.23,-0.04
11.136,0.19,0.22,-0.04
11.168,0.19,0.22,-0.03
11.200,0.19,0.21,-0.03
11.232,0.19,0.21,-0.02
11.264,0.19,0.20,-0.02
11.296,0.19,0.20,-0.01
11.328,0.19,0.19,-0.01
11.360,0.19,0.19,-0.00
11.392,0.19,0.18,0.00
11.424,0.19,0.18,0.01
11.456,0.19,0.18,0.01
11.488,0.19,0.17,0.01
11.520,0.19,0.17,0.02
11.552,0.19,0.16,0.02
11.584,0.19,0.16,0.03
11.616,0.19,0.16,0.03
11.648,0.19,0.15,0.03
11.680,0.19,0.15,0.04
11.712,0.19,0.15,0.04
11.744,0.19,0.15,0.04
11.776,0.19,0.14,0.05
11.808,0.19,0.14,0.05
11.840,0.19,0.14,0.05
11.872,0.19,0.14,0.05
11.904,0.19,0.13,0.06
11.936,0.19,0.13,0.06
11.968,0.19,0.13,0.06
12.000,0.19,0.13,0.06
12.032,0.19,0.12,0.07
12.064,0.19,0.12,0.07
12.096,0.19,0.12,0.07
12.128,0.19,0.12,0.07
12.160,0.19,0.12,0.08
12.192,0.20,0.12,0.08
12.224,0.20,0.12,0.08
12.256,0.20,0.11,0.08
12.288,0.20,0.11,0.08
12.320,0.20,0.11,0.09
12.352,0.20,0.11,0.09
12.384,0.20,0.11,0.09
12.416,0.20,0.11,0.09
12.448,0.20,0.11,0.09
12.480,0.20,0.11,0.09
12.512,0.20,0.11,0.10
12.544,0.21,0.11,0.10
12.576,0.21,0.11,0.10
12.608,0.21,0.11,0.10
12.640,0.21,0.11,0.10
12.672,0.21,0.11,0.10
12.704,0.21,0.11,0.10
12.736,0.21,0.11,0.11
12.768,0.21,0.11,0.11
12.800,0.22,0.11,0.11
12.832,0.22,0.11,0.11
12.864,0.22,0.11,0.11
12.896,0.22,0.11,0.11
12.928,0.22,0.11,0.11
12.960,0.22,0.11,0.11
12.992,0.22,0.11,0.12
13.024,0.22,0.11,0.12
13.056,0.23,0.11,0.12
13.088,0.23,0.11,0.12
13.120,0.23,0.11,0.12
13.152,0.23,0.11,0.12
13.184,0.23,0.11,0.12
13.216,0.23,0.11,0.12
13.248,0.24,0.11,0.12
13.280,0.24,0.11,0.12
13.312,0.24,0.12,0.12
13.344,0.24,0.12,0.13
13.376,0.24,0.12,0.13
13.408,0.25,0.12,0.13
13.440,0.25,0.12,0.13
13.472,0.25,0.12,0.13
13.504,0.25,0.12,0.13
13.536,0.25,0.12,0.13
13.568,0.26,0.13,0.13
13.600,0.26,0.13,0.13
13.632,0.26,0.13,0.13
13.664,0.26,0.13,0.13
13.696,0.27,0.13,0.13
13.728,0.27,0.13,0.13
13.760,0.27,0.14,0.14
13.792,0.27,0.14,0.14
13.824,0.28,0.14,0.14
13.856,0.28,0.14,0.14
13.888,0.28,0.14,0.14
13.920,0.28,0.15,0.14
13.952,0.29,0.15,0.14
13.984,0.29,0.15,0.14
14.016,0.29,0.15,0.14
14.048,0.30,0.15,0.14
14.080,0.30,0.16,0.14
14.112,0.19,0.16,0.03
14.144,0.15,0.08,0.07
14.176,0.13,0.10,0.03
14.208,0.11,0.07,0.05
14.240,0.11,0.08,0.03
14.272,0.10,0.06,0.04
14.304,0.09,0.06,0.03
14.336,0.09,0.05,0.04
14.368,0.09,0.05,0.04
14.400,0.09,0.05,0.04
14.432,0.09,0.05,0.04
14.464,0.09,0.04,0.04
14.496,0.08,0.04,0.04
14.528,0.08,0.04,0.05
14.560,0.08,0.04,0.05
14.592,0.08,0.03,0.05
14.624,0.08,0.03,0.05
14.656,0.08,0.03,0.05
14.688,0.08,0.03,0.06
14.720,0.08,0.03,0.06
14.752,0.08,0.02,0.06
14.784,0.08,0.02,0.06
14.816,0.09,0.02,0.06
14.848,0.09,0.02,0.07
14.880,0.09,0.02,0.07
14.912,0.09,0.02,0.07
14.944,0.09,0.02,0.07
14.976,0.09,0.01,0.07
15.008,0.09,0.01,0.07
15.040,0.09,0.01,0.08
15.072,0.09,0.01,0.08
15.104,0.09,0.01,0.08
15.136,0.09,0.01,0.08
15.168,0.09,0.01,0.08
15.200,0.09,0.01,0.08
15.232,0.09,0.01,0.08
15.264,0.09,0.01,0.08
15.296,0.09,0.01,0.09
15.328,0.09,0.01,0.09
15.360,0.09,0.01,0.09
15.392,0.10,0.01,0.09
15.424,0.10,0.01,0.09
15.456,0.10,0.01,0.09
15.488,0.10,0.01,0.09
15.520,0.10,0.01,0.09
15.552,0.10,0.01,0.09
15.584,0.10,0.01,0.10
15.616,0.10,0.01,0.10
15.648,0.10,0.01,0.10
15.680,0.10,0.01,0.10
15.712,0.10,0.01,0.10
15.744,0.10,0.01,0.10
15.776,0.11,0.01,0.10
15.808,0.11,0.01,0.10
15.840,0.11,0.01,0.10
15.872,0.11,0.01,0.10
15.904,0.11,0.01,0.10
15.936,0.11,0.01,0.10
15.968,0.11,0.01,0.10
16.000,0.11,0.01,0.10
16.032,0.11,0.01,0.10
16.064,0.11,0.01,0.11
16.096,0.12,0.01,0.11
16.128,0.12,0.01,0.11
16.160,0.12,0.01,0.11
16.192,0.12,0.01,0.11
16.224,0.12,0.01,0.11
16.256,0.12,0.01,0.11
16.288,0.12,0.01,0.11
16.320,0.12,0.01,0.11
16.352,0.13,0.02,0.11
16.384,0.13,0.02,0.11
16.416,0.13,0.02,0.11
16.448,0.13,0.02,0.11
16.480,0.13,0.02,0.11
16.512,0.13,0.02,0.11
16.544,0.13,0.02,0.11
16.576,0.13,0.02,0.11
16.608,0.14,0.02,0.11
16.640,0.14,0.02,0.11
16.672,0.14,0.03,0.11
16.704,0.14,0.03,0.11
16.736,0.14,0.03,0.11
16.768,0.14,0.03,0.11
16.800,0.14,0.03,0.11
16.832,0.15,0.03,0.11
16.864,0.15,0.03,0.12
16.896,0.15,0.03,0.12
16.928,0.15,0.03,0.12
16.960,0.15,0.04,0.12
16.992,0.15,0.04,0.12
17.024,0.16,0.04,0.12
17.056,0.16,0.04,0.12
17.088,0.16,0.04,0.12
17.120,0.16,0.04,0.12
17.152,0.16,0.05,0.12
17.184,0.16,0.05,0.12
17.216,0.17,0.05,0.12
17.248,0.17,0.05,0.12
17.280,0.17,0.05,0.12
17.312,0.17,0.05,0.12
17.344,0.17,0.05,0.12
17.376,0.18,0.06,0.12
17.408,0.18,0.06,0.12
17.440,0.18,0.06,0.12
17.472,0.18,0.06,0.12
17.504,0.19,0.06,0.12
17.536,0.19,0.07,0.12
17.568,0.19,0.07,0.12
17.600,0.19,0.07,0.12
17.632,0.19,0.07,0.12
17.664,0.20,0.07,0.12
17.696,0.20,0.08,0.12
17.728,0.20,0.08,0.12
17.760,0.21,0.08,0.12
17.792,0.21,0.08,0.12
17.824,0.21,0.09,0.13
17.856,0.21,0.09,0.13
17.888,0.22,0.09,0.13
17.920,0.22,0.09,0.13
17.952,0.14,0.10,0.04
17.984,0.11,0.03,0.07
18.016,0.09,0.05,0.04
18.048,0.08,0.03,0.06
18.080,0.07,0.04,0.04
18.112,0.07,0.02,0.05
18.144,0.07,0.03,0.04
18.176,0.07,0.02,0.05
18.208,0.06,0.02,0.04
18.240,0.06,0.02,0.05
18.272,0.06,0.02,0.05
18.304,0.06,0.01,0.05
18.336,0.06,0.01,0.05
18.368,0.06,0.01,0.05
18.400,0.06,0.01,0.05
18.432,0.06,0.01,0.05
18.464,0.06,0.01,0.05
18.496,0.06,0.01,0.06
18.528,0.06,0.00,0.06
18.560,0.06,0.00,0.06
18.592,0.06,0.00,0.06
18.624,0.06,0.00,0.06
18.656,0.06,0.00,0.06
18.688,0.06,0.00,0.06
18.720,0.06,-0.00,0.06
18.752,0.06,-0.00,0.06
18.784,0.06,-0.00,0.07
18.816,0.06,-0.00,0.07
18.848,0.06,-0.00,0.07
18.880,0.07,-0.00,0.07
18.912,0.07,-0.00,0.07
18.944,0.07,-0.00,0.07
18.976,0.07,-0.00,0.07
19.008,0.07,-0.00,0.07
19.040,0.07,-0.00,0.07
19.072,0.07,-0.00,0.07
19.104,0.07,-0.01,0.07
19.136,0.07,-0.01,0.08
19.168,0.07,-0.01,0.08
19.200,0.07,-0.01,0.08
19.232,0.07,-0.01,0.08
19.264,0.07,-0.01,0.08
19.296,0.07,-0.01,0.08
19.328,0.07,-0.01,0.08
19.360,0.07,-0.01,0.08
19.392,0.08,-0.00,0.08
19.424,0.08,-0.00,0.08
19.456,0.08,-0.00,0.08
19.488,0.08,-0.00,0.08
19.520,0.08,-0.00,0.08
19.552,0.08,-0.00,0.08
19.584,0.08,-0.00,0.08
19.616,0.08,-0.00,0.08
19.648,0.08,-0.00,0.08
19.680,0.08,-0.00,0.08
19.712,0.08,-0.00,0.09
19.744,0.08,-0.00,0.09
19.776,0.09,-0.00,0.09
19.808,0.09,-0.00,0.09
19.840,0.09,0.00,0.09
19.872,0.09,0.00,0.09
19.904,0.09,0.00,0.09
19.936,0.09,0.00,0.09
19.968,0.09,0.00,0.09
20.000,0.09,0.00,0.09
20.032,0.09,0.00,0.09
20.064,0.09,0.00,0.09
20.096,0.09,0.01,0.09
20.128,0.10,0.01,0.09
20.160,0.10,0.01,0.09
20.192,0.10,0.01,0.09
20.224,0.10,0.01,0.09
20.256,0.10,0.01,0.09
20.288,0.10,0.01,0.09
20.320,0.10,0.01,0.09
20.352,0.10,0.01,0.09
20.384,0.10,0.01,0.09
20.416,0.11,0.01,0.09
20.448,0.11,0.01,0.09
20.480,0.11,0.02,0.09
20.512,0.11,0.02,0.09
20.544,0.11,0.02,0.09
20.576,0.11,0.02,0.09
20.608,0.11,0.02,0.09
20.640,0.11,0.02,0.09
20.672,0.12,0.02,0.09
20.704,0.12,0.02,0.09
20.736,0.12,0.02,0.09
20.768,0.12,0.02,0.09
20.800,0.12,0.03,0.09
20.832,0.12,0.03,0.09
20.864,0.12,0.03,0.09
20.896,0.12,0.03,0.10
20.928,0.13,0.03,0.10
20.960,0.13,0.03,0.10
20.992,0.13,0.03,0.10
21.024,0.13,0.04,0.10
21.056,0.13,0.04,0.10
21.088,0.13,0.04,0.10
21.120,0.14,0.04,0.10
21.152,0.10,0.04,0.06
21.184,0.08,0.01,0.07
21.216,0.07,0.02,0.05
21.248,0.06,0.00,0.06
21.280,0.06,0.01,0.05
21.312,0.06,0.00,0.05
21.344,0.05,0.00,0.05
21.376,0.05,-0.00,0.05
21.408,0.05,0.00,0.05
21.440,0.05,-0.00,0.05
21.472,0.05,-0.00,0.05
21.504,0.05,-0.00,0.05
21.536,0.05,-0.00,0.05
21.568,0.05,-0.01,0.05
21.600,0.05,-0.01,0.05
21.632,0.05,-0.01,0.06
21.664,0.05,-0.01,0.06
21.696,0.05,-0.01,0.06
21.728,0.05,-0.01,0.06
21.760,0.05,-0.01,0.06
21.792,0.05,-0.01,0.06
21.824,0.05,-0.01,0.06
21.856,0.05,-0.01,0.06
21.888,0.05,-0.01,0.06
21.920,0.05,-0.01,0.06
21.952,0.05,-0.01,0.06
21.984,0.05,-0.01,0.06
22.016,0.05,-0.01,0.06
22.048,0.05,-0.01,0.06
22.080,0.05,-0.01,0.06
22.112,0.05,-0.01,0.07
22.144,0.06,-0.01,0.07
22.176,0.06,-0.01,0.07
22.208,0.06,-0.01,0.07
22.240,0.06,-0.01,0.07
22.272,0.06,-0.01,0.07
22.304,0.06,-0.01,0.07
22.336,0.06,-0.01,0.07
22.368,0.06,-0.01,0.07
22.400,0.06,-0.01,0.07
22.432,0.06,-0.01,0.07
22.464,0.06,-0.01,0.07
22.496,0.06,-0.01,0.07
22.528,0.06,-0.01,0.07
22.560,0.06,-0.01,0.07
22.592,0.06,-0.01,0.07
22.624,0.06,-0.01,0.07
22.656,0.06,-0.01,0.07
22.688,0.06,-0.01,0.07
22.720,0.06,-0.01,0.07
22.752,0.06,-0.01,0.07
22.784,0.07,-0.01,0.07
22.816,0.07,-0.01,0.07
22.848,0.07,-0.01,0.07
22.880,0.07,-0.01,0.07
22.912,0.07,-0.01,0.07
22.944,0.07,-0.00,0.07
22.976,0.07,-0.00,0.07
23.008,0.07,-0.00,0.07
23.040,0.07,-0.00,0.07
23.072,0.07,-0.00,0.07
23.104,0.07,-0.00,0.07
23.136,0.07,-0.00,0.07
23.168,0.07,-0.00,0.07
23.200,0.07,-0.00,0.07
23.232,0.07,-0.00,0.07
23.264,0.08,0.00,0.07
23.296,0.08,0.00,0.07
23.328,0.08,0.00,0.08
23.360,0.08,0.00,0.08
23.392,0.08,0.00,0.08
23.424,0.08,0.00,0.08
23.456,0.08,0.00,0.08
23.488,0.08,0.00,0.08
23.520,0.08,0.01,0.08
23.552,0.08,0.01,0.08
23.584,0.08,0.01,0.08
23.616,0.08,0.01,0.08
23.648,0.08,0.01,0.08
23.680,0.08,0.01,0.08
23.712,0.09,0.01,0.08
23.744,0.09,0.01,0.08
23.776,0.09,0.01,0.08
23.808,0.09,0.01,0.08
23.840,0.09,0.01,0.08
23.872,0.09,0.01,0.08
23.904,0.09,0.01,0.08
23.936,0.09,0.01,0.08
23.968,0.09,0.02,0.08
24.000,0.09,0.02,0.08
24.032,0.09,0.02,0.08
24.064,0.10,0.02,0.08
24.096,0.10,0.02,0.08
24.128,0.10,0.02,0.08
24.160,0.10,0.02,0.08
24.192,0.10,0.02,0.08
24.224,0.10,0.02,0.08
24.256,0.10,0.02,0.08
24.288,0.10,0.02,0.08
24.320,0.10,0.03,0.08
24.352,0.10,0.03,0.08
24.384,0.11,0.03,0.08
24.416,0.11,0.03,0.08
24.448,0.11,0.03,0.08
24.480,0.11,0.03,0.08
24.512,0.11,0.03,0.08
24.544,0.11,0.03,0.08
24.576,0.11,0.03,0.08
24.608,0.11,0.04,0.08
24.640,0.11,0.04,0.08
24.672,0.12,0.04,0.08
24.704,0.12,0.04,0.08
24.736,0.12,0.04,0.08
24.768,0.12,0.04,0.08
24.800,0.12,0.04,0.08
24.832,0.12,0.04,0.08
24.864,0.12,0.04,0.08
24.896,0.12,0.05,0.08
24.928,0.13,0.05,0.08
24.960,0.13,0.05,0.08
24.992,0.09,0.05,0.04
25.024,0.07,0.02,0.05
25.056,0.06,0.03,0.03
25.088,0.06,0.02,0.04
25.120,0.05,0.02,0.03
25.152,0.05,0.01,0.04
25.184,0.05,0.01,0.03
25.216,0.05,0.01,0.04
25.248,0.05,0.01,0.04
25.280,0.05,0.01,0.04
25.312,0.04,0.01,0.04
25.344,0.04,0.01,0.04
25.376,0.04,0.01,0.04
25.408,0.04,0.00,0.04
25.440,0.04,0.00,0.04
25.472,0.04,0.00,0.04
25.504,0.04,0.00,0.04
25.536,0.04,0.00,0.04
25.568,0.04,0.00,0.04
25.600,0.04,0.00,0.04
25.632,0.04,0.00,0.04
25.664,0.04,0.00,0.04
25.696,0.05,0.00,0.04
25.728,0.05,0.00,0.05
25.760,0.05,0.00,0.05
25.792,0.05,-0.00,0.05
25.824,0.05,-0.00,0.05
25.856,0.05,-0.00,0.05
25.888,0.05,-0.00,0.05
25.920,0.05,-0.00,0.05
25.952,0.05,-0.00,0.05
25.984,0.05,-0.00,0.05
26.016,0.05,-0.00,0.05
26.048,0.05,-0.00,0.05
26.080,0.05,-0.00,0.05
26.112,0.05,-0.00,0.05
26.144,0.05,-0.00,0.05
26.176,0.05,-0.00,0.05
26.208,0.05,-0.00,0.05
26.240,0.05,-0.00,0.05
26.272,0.05,-0.00,0.05
26.304,0.05,-0.00,0.05
26.336,0.05,-0.00,0.05
26.368,0.05,-0.00,0.05
26.400,0.05,-0.00,0.05
26.432,0.05,-0.00,0.05
26.464,0.05,-0.00,0.05
26.496,0.05,-0.00,0.05
26.528,0.05,-0.00,0.06
26.560,0.06,-0.00,0.06
26.592,0.06,0.00,0.06
26.624,0.06,0.00,0.06
26.656,0.06,0.00,0.06
26.688,0.06,0.00,0.06
26.720,0.06,0.00,0.06
26.752,0.06,0.00,0.06
26.784,0.06,0.00,0.06
26.816,0.06,0.00,0.06
26.848,0.06,0.00,0.06
26.880,0.06,0.00,0.06
26.912,0.06,0.00,0.06
26.944,0.06,0.00,0.06
26.976,0.06,0.00,0.06
27.008,0.06,0.00,0.06
27.040,0.06,0.00,0.06
27.072,0.06,0.01,0.06
27.104,0.06,0.01,0.06
27.136,0.06,0.01,0.06
27.168,0.06,0.01,0.06
27.200,0.07,0.01,0.06
27.232,0.07,0.01,0.06
27.264,0.07,0.01,0.06
27.296,0.07,0.01,0.06
27.328,0.07,0.01,0.06
27.360,0.07,0.01,0.06
27.392,0.07,0.01,0.06
27.424,0.07,0.01,0.06
27.456,0.07,0.01,0.06
27.488,0.07,0.01,0.06
27.520,0.07,0.01,0.06
27.552,0.07,0.01,0.06
27.584,0.07,0.01,0.06
27.616,0.07,0.01,0.06
27.648,0.07,0.01,0.06
27.680,0.07,0.01,0.06
27.712,0.08,0.02,0.06
